Designator,Mid X,Mid Y,Rotation,Layer
S1,85.725,-67.933125,0.0,top
S10,123.825,-75.076875,0.0,top
S11,123.825,-94.126875,0.0,top
S12,195.274583,-125.373087,330.0,top
S13,142.875,-53.645625,0.0,top
S14,142.875,-72.695625,0.0,top
S15,142.875,-91.745625,0.0,top
S16,161.925,-56.026875,0.0,top
S17,161.925,-75.076875,0.0,top
S18,161.925,-94.126875,0.0,top
S19,180.975,-58.408125,0.0,top
S2,85.725,-86.983125,0.0,top
S20,180.975,-77.458125,0.0,top
S21,180.975,-96.508125,0.0,top
S3,85.725,-106.033125,0.0,top
S4,152.4,-114.3,0.0,top
S5,104.775,-67.933125,0.0,top
S6,104.775,-86.983125,0.0,top
S7,104.775,-106.033125,0.0,top
S8,174.499003,-116.780837,345.0,top
S9,123.825,-56.026875,0.0,top
U1,203.2875,-72.39,0.0,top
U2,219.550463,-108.98811,330.0,top
U3,215.566747,-106.688111,30.0,bottom
